word,weight
ai,100
generative,50
machine-learning,70
automation,50
cloud,65
automated,70
pipeline,20
data,90
visualization,70
web3,90
blockchain,65
smart-contract,75
sodity,45
python,45
javascript,45
svelte,45
github,25
git,25
interpreter,10
compiler,10
interpreter,10
integration,8
compile,5
test,5
materials,15
laser,28
QCM,12
impedance,18
electronics,24
conducutivity,6
spectral,4
optical,21
electrical,14
gravimetric,13
wallet,31
encryption,28
identity,17
EVM,38
ethereum,75
metamask,50
coinbase,27
embeddings,75
vector,62
database,81
ETL,62
computing,70
computational,35
emerging,30
technology,70
frontier,60
innovation,80
interactive,50
plotting,50
graph,40
node,30
edge,45
dashboard,45
spectrometer,5
labview,15
laboratory,10
lab,30
metaverse,20
virtual,15
transaction,20
decentralized,45
storage,10
file,3
code,3
HTML,16
CSS,13
IPFS,48
polygon,16
arbitrum,16
optimism,16
layer-2,30
rollup,21
base,18
numpy,40
pandas,40
matplotlib,35
plotly,35
analytics,100
data-science,70
AWS,40
SQL,20
noSQL,20
DynamoDB,45
MongoDB,30
S3,30
EC2,30
transformation,15
block-explorer,25
etherscan,30
token,30
fungible,25
nonfungible,25
NFT,45
chamber,3
environmental,3
tech,18
humidity,2
pressure,3
temperature,3
experiment,22
study,37
simulation,41
animation,29
art,13
nature,14
chemistry,18
physics,61
engineering,53
astronomy,13
space,6
painting,4
drawing,4
pip,14
anconda,14
QT,8
interface,16
UX,15
UI,15
flask,35
django,35
node,35
sklearn,35
tensorflow,30
keras,30
pytorch,45
llama,40
LLM,90
d3,40
scipy,40
dash,12
maps,3
geography,4
vectorstore,80
science,70
nano,20
nanotechnology,10
alloy,40
polymer,50
organic,55
advanced,40
methodology,20
technique,18
viscoelastic,35
differential,25
equation,35
model,55
transformer,60
open-source,50
web,70
application,60
software,70
API,65
sensor,50
sensing,50
dectection,40
limits,10
proteins,4
bayesian,55
optimization,60
iterative,10
feedback,15
closed-loop,20
vite,25
npm,25
globus,20
weights,10
biases,10
activation,10
function,24
array,14
hashtable,12
credentials,16
HTTPS,19
protocol,45
permissionless,25
censorship-resistant,20
architecture,30
structure,10
design,45
development,75
novel,60
boundaries,14
atom,3
trapping,3
quantum,14
experimental,26
theoretical,26
digital,45
natural-language,70
query,50
response,30
user,40
retrieval,65
consensus,30
stake,30
deployment,60
CRUD,5
walletconnect,15
wagmi,15
ethers,20
web3modal,10
viem,25
jupyter,55
colab,5
DAO,34
multimeter,5
soldering,5
transistor,3
solar,6
thin-film,3
junction,3
bilayer,7
multilayer,3
vacuum,34
chip,3
computer,3
USB,3
monitor,2
display,2
aave,3
compound,3
uniswap,3
maker,3
balancr,3
curve,3
lido,3
rocketpool,3
zapper,3
opensea,3
flip,3
bitcoin,10
crypto,10
finance,17
ownership,26
featurization,50
microscope,10
AFM,12
arduino,15
raspberry-pi,15
microcontroller,25
phototype,40
real-time,15
webhook,15
web-scraping,10
matlab,5
mathematica,5
reinforcement-learning,10
fine-tuning,1
compound,1
defi,50
desci,30
article,1
publication,1
writing,1
multimedia,1
multimodal,1
IoT,40
tailwindCSS,20
bootstrap,5
vacuum,1
AFM,1
AGM,1
MOX,1
KPFM,1
fetch,1
FTIR,1
Raman,1
microscopy,1
quantum,1
memristor,1
annealing,3
thermal-deposition,3
thermal-evaporation,3
sputtering,3
spin-coating,3
absorption,1
transmittance,1
interference,1
MOT,3
BEC,3
Bose-Einstein-Condensate,10
soldering,1
prototyping,1
server,1
frontent,1
full-stack,40
metadata,1
indexing,1
pinecone,3
milvus,3
zilliz,3
aws-marketplace,3
retrieval-augmented-generation,20
text-chunking,1
text-splitting,1
langchain,18
power-supply,3
voltmeter,2
ammeter,2
government,1
private-sector,1
NSF,10
ARPA-E,10
DOE,10
hugging-face,8
llama2,8
diffusion-model,12
goerli,6
sepolia,6
polygon-mumbai,4
ERC20,45
ERC721,45
ERC1155,40
ERC4626,20
MEV,5
oracle,6
data-availability-layer,4
bridge,3
zero-knowledge-proof,18
sidechain,14
tokenization,60
validium,6
prover,2
sequencer,2
block-builder,2
coinbase-wallet,16
decentralized-finance,12
pinata,4
governance,2
signer,8
block,2
validator,4
distributed-validator-technology,2
ether,14
gas,2
wei,3
gwei,3
dapp,78
web,2
internet,1
computer,1
tech,3
software,5
equipment,4
systems,10
hardware,6
robotics,15
electron,2
bionics,8
biotechnology,2
manufacturnig,2
engine,1
device,4
medical,2
pollution,3
math,18
revolution,1
capability,1
valve,4
controller,8
algorithm,34
nanotechnology,21
stack,2
electrochemistry,23
breakthrough,1
efficiency,1
rocket,1
mechanical,1
scientist,1
copper,1
titanium,1
silicon,3
symbolic,7
algebra,4
trigonometry,2
linear,2
exponential,2
polynomial,1
sigmoid,1
tanh,1
relu,1
byte,1
program,1
hyperlink,1
broadband,1
process,1
flash,1
file,1
upload,1
download,1
android,2
iOS,2
backup,1
logs,1
testing,1
CPU,2
decryption,3
developer,1
executable,1
desktop,1
debugging,1
driver,1
emulator,1
ethernet,1
firewall,1
firmware,1
GUI,2
I/O,28
OOP,2
operate,1
SSH,12
SEO,2
unix,2
disk,1
jpeg,1
png,1
gif,1
svg,1
tiff,1
5G,6
lidar,4
RFID,14
browser,2
photonics,37
cyber,40
wifi,2
wireless,8
ultrasonic,20
capacitive,25
capacitor,2
battery,2
olfactory,8
PCA,15
tSNE,15
dimensionality-reduction,25
bit,4
satoshi,3
ledger,19
backend,21
management,12
FTP,16
bandwidth,14
biometrics,18
mining,3
gateway,1
LAN,2
SaaS,39
compression,18
VPN,13